education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,3-5年,五险一金加班补助年终奖带薪年假节日福利免费考证五险一金加班补助年终奖带薪年假节日福利免费考证带薪年假地铁周边领导nice公司氛围好移动互联网,10,20K,运营中心-数据分析师,北京,"该岗位为尚德机构运营中心数据分析师主要工作内容:1、结合业务线发展规划,制定业务线KPI指标。2、针对运营线专项问题,展开主题分析,推进业务线运营动作迭代升级。3.产出日常运营线报表,根据业务重点的变化，迭代升级数据报表。4、对接产研，完成报表线上化线上迭代升级。熟悉运营线业务逻辑后,优秀者可主持主题分析项目,调配部门内、外部资源。1、3年或以上数据分析1挖掘相关工作经验。2.有完整数据分析/数据挖掘项目经历。大型企业、教育行业、互联网相关领域优先。3、统计学/软件工程/计算机专业优先。4、熟悉sql, 了解多种提升sq查询效率的方法;熟练使用1种或以上编程语言， Excel能够熟练使用。5、以结果为导向，有较强的抗压能力。6.沟通能力强,擅长跨部i了协作;业务敏感度高,能够将业务思维和数据思维进行结合。尚德机构—职业培训领跑者全国最大的一家职业教育培训机构尚德成立15年，目前员工有10000多人，全国学员超50万名我们尚德的人才理念：培养自家经理人（尚德有6名总裁助理/总监级别的领导，全部来自于自我培养）"
学历不限,经验不限,五险一金补充医疗保险定期体检加班补助股票期权带薪年假员工旅游餐补交通补助节日福利五险一金补充医疗保险定期体检加班补助股票期权带薪年假员工旅游餐补交通补助节日福利,12,24K,数据分析师,北京,1.     负责风险相关的数据分析、数据清洗、专题分析，并出具分析报告；2.     实时监测贷款业务的数据变化，为风险策略提供数据支持和方案；3.     对公司新的风险政策的执行效果，进行跟踪与结果验证，及时反馈政策效果；4.     处理海量用户数据，挖掘用户行为特征，为风险策略提供参考依据；5.     参与风控报表体系搭建，提出风险报表开发需求；6.     参与部门的重点项目，负责从数据的角度给出决策建议；7.     完成公司领导交办的其它工作。1.     本科及以上学历，金融、经济、数学、统计学，计量经济学相关专业；2.     二年以上（含）风险计量分析工作经验优先，或对互联网金融数据有经验者优先考虑；3.     熟悉R、SAS专业数据分析软件，熟练掌握SQL、EXCEL、Hive等常用工具；4.     具有较强的逻辑思维能力、数据挖掘分析能力，具备良好的敬业精神，有较强的团队协作能力、沟通能力和问题分析能力等；5.     较强的数据敏感度，具备较强的逻辑分析能力和中英文档写作能力。
本科,5-10年,五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假免费班车餐补节日福利住房补贴五险一金补充医疗保险定期体检全勤奖年终奖股票期权带薪年假免费班车餐补节日福利住房补贴,35,65K,数据分析专家,北京,1. 整体负责广告业务的各项数据分析相关工作；2. 负责线下广告及营销全部产品线客户业务价值分析，模型建设和用户提升等策略方向工作；3. 负责搭建客户广告投放前中后及优化的全流程分析报告，辅助广告销售业务；4. 利用数据分析及机器学习算法，设计用户，网点和媒体等主体的聚类、画像、推荐等策略，支持广告精准化投放落地；5.运用投后分析方法，观察策略产出效果，迭代优化业务策略，确保给业务带来实际价值。1、本科以上学历，数学、统计学、商业分析相关专业优先；2、3年以上数据产品、数据分析、数据策略等工作经验；3、熟练掌握 SQL 语言以及 Python/R 数据分析和机器学习算法，并具备使用分析和算法建立和优化模型能力；4、具有快速的业务理解及学习能力，逻辑思维、自我驱动、抗压能力强；5、有广告投放、Growth、Fintech相关经验者优先;
本科,3-5年,,20,30K,数据分析,北京,1.挖掘渠道数据表现，制定投放标准和止损标准，并周期性更新；2.监控渠道投放效果以及数据分析，为广告投放师提供日常投放的数据支持；3.规划梳理市场部门的数据产品需求，制定合理数据产品需求，参与数据产品落地；4.为市场部门测试（包括投放、素材测试等）制定合理A/B test流程及提供数据支持；5.制定市场数据分析组的研究方向，优化已有模型，探索新的数据模型；6.定期对竞品市场投放动态进行监测和分析。1.本科以上学历，3年以上游戏或互联网市场投放数据分析经验；2.数理逻辑清晰，数据敏感度高；数学专业、统计学专业优先；3.熟悉市场投放业务指标的使用方法及场景，能够独立完成市场投放业务数据分析；4.熟练使用SQL语句、EXCEL；掌握SPSS、R、SAS等其中一种分析工具；5.具有一定的数据挖掘、建模、预测能力；可独立对市场投放数据进行深入挖掘；6.良好的沟通能力、文档表达能力、部门协作以及团队协调能力；7.出色的学习能力，能够快速融入业务；能够根据业务以及公司发展需要，不断提升自己；8.有独立市场投放数据分析工作经验者优先。
本科,1-3年,五险一金定期体检加班补助年终奖带薪年假通讯补贴交通补助节日福利五险一金定期体检加班补助年终奖带薪年假通讯补贴交通补助节日福利双休带薪年假加班宵夜加班费,8,10K,数据分析专员,北京,1、1年以上互联网数据运营相关经验，对数据敏感，有洞察力和创新意识，善于总结问题并能积极进行优化；2、良好的沟通能力与逻辑分析能力，善于从数据中发现问题，并提出解决方案；3、具备优秀的数据处理能力，熟练使用excel常用函数与报表整理，熟悉sql语句优先，有编程基础优先；4、对大数据人物画像、移动互联网广告感兴趣，有计算广告、DMP、用户画像、打标签等相关经验者优先。。1、在深入理解业务的基础上，进行日常数据的监控和分析，及时察觉数据波动并深入分析原因，配合定位业务异常和风险点，提供解决方案；2、进行大数据用户画像分析的标签处理工作，结合业务场景，设计用户画像和标签体系，并与大数据算法团队一起进行兴趣标签挖掘，并持续优化；3、将产品和运营日常关注的核心指标，数据分析报告等抽取共性，形成数据产品，提升数据效率。
本科,5-10年,五险一金加班补助年终奖带薪年假节日福利免费考证五险一金加班补助年终奖带薪年假节日福利免费考证,25,45K,数据分析负责人,北京,工作职责1.梳理并优化现有数据分析的内容、流程和机制，不断提升数据质量，挖掘数据价值；2.结合公司现状，深入分析人力数据和业务数据模型，搭建公司HR数据报告体系和分析平台；3.完成月度、季度、年度人力数据分析报告，发现人力资源管理问题，提出改进意见；4.支持对接重点人力资源项目，编制PPT，提供支持和建议；5.对行业、竞争对手等进行HR相关数据整合和研究分析，提供外部对标及观点1、对业务，人员，成本，数据敏感、关注细节；2、卓越的excel/ppt操作能力；3、2年咨询公司背景优先，一线互联网公司优先；4、抗压性强，有足够的判定能力。
本科,3-5年,五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游免费班车餐补交通补助包吃节日福利住房补贴零食下午茶五险一金补充医疗保险定期体检加班补助年终奖带薪年假员工旅游免费班车餐补交通补助包吃节日福利住房补贴零食下午茶股票期权带薪年假年度旅游美女如云移动互联网公司氛围好领导nice,16,30K,数据分析师,北京,1. 从数据的角度帮助产品解决各种复杂商业分析问题，能独立完成方法或策略设计、数据处理与分析的工程实现，结论展示的整个流程；2. 对公司内外部数据进行挖掘，在深入理解用户行为、产品特点的基础上，自主发掘课题，提出建议，数据驱动产品、运营与战略决策。1. 2年及以上数据分析经验；2. 对音乐或游戏直播行业有一定的认知；3. 熟练使用SQL，Python／R等分析工具，有大规模数据处理及分析的经验；4. 有良好的数据可视化能力，能独立为团队创建完整的dashboard；5. 有很强的商业洞察能力，数字敏感性与逻辑思维能力，能够从数据的角度为产品提出改进建议；6. 对统计学，A／B test及简单的机器学习有一定的了解
本科,3-5年,五险一金加班补助年终奖带薪年假节日福利免费考证五险一金加班补助年终奖带薪年假节日福利免费考证,15,25K,数据分析师,北京,1. 基于对业务深入理解的基础上，搭建业务分析模型，为业务提供数据决策和策略支持，;2. 向业务部门提供各类运营数据及报相应的数据进行分析处理，以及提出对应的解决办法；3. 负责业务数据系统规划建设，构建业务数据模型；4. 深入了解业务发展需求，统筹规划数据运营团队的日常数据监控及分析，灵活支持产品以及业务模块的数据分析命题；5. 针对异常数据进行预警、解读和挖掘，并提出解决方案；1. 大学本科学历，具有数据分析和建模相关理论知识；2. 有5年以上互联网数据分析、挖掘和建模方面的经验，有成功通过数据分析和运营，改善经营结果的成功项目实践；3. 具有数据提取，绩效分析，经营分析，数据体系构建，策略方面的成功实践和经验4. 能够有效沟通，与业务和产品团队有效配合，推动相关工作落地；6. 能够主动学习，分析业界最新动态和技术，并应用到数据分析工作中。7.有较强的数学、统计学相关知识，数学各类分析模型，熟练使用Excel、SQL、spss等统计分析软件；具有多年带领团队的经验，具有良好的沟通能力和逻辑思维。
本科,3-5年,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补节日福利零食下午茶五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游餐补节日福利零食下午茶,20,35K,数据分析师,北京,1、负责今日头条、抖音、火山等多条核心产品线商业化团队的经营分析。对业务团队各项经营指标进行日常监控，针对各类趋势及异动进行专题分析， 指出团队痛点、输出有效分析结论，并给予相应解决方案；2、基于各项经营分析结果，产出各类实际业务策略并推动落地实行，切实推动业务发展。1、需具备3-5年工作经历；2、985或国外知名大学统招本科以上学历。具备优秀的结构性思维及逻辑思维能力，表达能力和沟通能力强。有较强的业务好奇心。3、具有知名互联网公司、广告公司数据或经营分析经验，或具有咨询公司互联网行业项目经验4、熟练掌握相关数据工具如SQL、excel为佳；5、对互联网广告业务熟悉优先
本科,3-5年,五险一金加班补助年终奖带薪年假交通补助节日福利五险一金加班补助年终奖带薪年假交通补助节日福利领导nice扁平管理公司氛围好移动互联网带薪年假免费零食股票期权,20,30K·13薪,数据分析师,北京,分析业务及产品现状，对于业务变动原因提供及时深入的解释，提出业务改进建议并支持落地。要求：1、熟练使用sql、tableau、excel，具备统计、数据分析的基本技能2、擅长R/SAS，python、HIVE的优先2、成熟专业的沟通表达与团队协作，愿意扎实深入业务，深入一线关于学霸君1、TOP的在线教育公司，科技与AI方面行业NO.12、第一家拍照搜题app，1亿学生用户3、目前主打业务在线1V1销售增长迅速，年内小目标10亿+关于我1、上海交通大学计算机本科、上海高级金融学院金融硕士2、5年PE/VC投资经验，主要基于企业长线价值及Financial Model做判断3、2015年加入学霸君，负责智能学习业务，今年起负责数据业务我喜欢“聪明自驱”、“目标导向”、“要性强”、“不设限”“、”追求卓越“的同学，有梦敢想，空间平台与机会都是敞开的，很open，机会与挑战很多，但我坚信，1年后，业内会意识到，学霸君的数据团队，是最好的。数据驱动业务，欢迎最优秀的筒子，加入学霸君数据总参谋部。We will be top in 1 year.
