education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,应届生,五险一金补充医疗保险定期体检带薪年假通讯补贴节日福利零食下午茶高温补贴五险一金补充医疗保险定期体检带薪年假通讯补贴节日福利零食下午茶高温补贴股票期权带薪年假年终分红扁平管理地铁周边领导nice互联网金融免费零食,3,4K,Java开发实习生,北京,1、负责凤金平台核心代码开发工作；2、根据系统业务需求提供合理的设计和解决方案；3、编写系统相关设计文档及技术文档；4、参与系统稳定性、性能和扩展性调试。1、 计算机或相关专业，大学本科及以上学历，211/985院校优先；2、 熟悉Java语言，理解面向对象编程，至少掌握一种设计模式；3、 熟悉Spring/Spring MVC/Mybatis/Ajax等开发技术；4、 熟悉Redis/Memcached等至少一种缓存技术；5、 熟悉MySQL或其他关系型数据库的使用；6、 熟悉Linux系统的基本操作；7、 熟悉微服务设计原理，使用过Dubbo等RPC框架的优先；8、 具备优秀的沟通及学习能力，积极的工作生活态度。2014年9月成立，目前A轮融资8000万美金，交易量突破130亿，保险，基金，海外资产，网贷四条业务线，今年会完善大数据中心。公司七险一金，15天带薪假期，15个月薪资。
本科,应届生,五险一金定期体检年终奖股票期权带薪年假员工旅游通讯补贴交通补助节日福利五险一金定期体检年终奖股票期权带薪年假员工旅游通讯补贴交通补助节日福利领导nice公司氛围好年终分红地铁周边美女如云扁平管理,6,8K,Java开发实习生（2020届毕业）,北京,工作职责：1、对产品功能模块提出改进建议。2、能够积极响应和服务客户，并进行客户定制化需求的代码实现和功能交付；3、理解实际业务应用场景，提升用户体验；4、能够负责所属模块的技术支持、功能调试与系统升级维护工作；5、协助公司持续改进产品的易用性，稳定性，安全性，高可用性；6、协助并完成其他临时性技术开发任务。1、2020届毕业生，计算机或相关专业，包括物联网，信息管理等。2、勤奋、好学，沟通能力和逻辑思维强。3、有Java/web前端或服务端开发基础，掌握相关开发技能4、数据库了解sqlsever、oracle、mysql， SQL语句熟悉，触发器，存储过程编写能力较强的优先；该岗位应聘成功将就职于上海泛微网络科技股份有限公司北方大区授权业务运营中心北京机构
本科,应届生,,3,6K,java实习生2019年毕业-2020年毕业,北京,1、和单位老员工一起，进行项目开发。2、负责公司软件产品的开发工作，拥有扎实的计算机基础知识，熟悉Java、JSP、JavaScript、HTML、CSS开发技术；3、了解数据库，熟悉MySQL/Oracle/SQL Server等数据库系统的应用任意一种；4、流行框架有一定了解。5、有过实习项目经验的优先。6、项目中，有老员工带领，参与到项目中要求：本科或以上学历，计算机或软件相关专业出身，同时具有良好的沟通表达能力、较强的学习能力、能独立解决问题的能力；稳重、踏实、勤奋，拥有积极开放的心态。
本科,经验不限,五险一金定期体检股票期权带薪年假项目奖金五险一金定期体检股票期权带薪年假项目奖金五险一金带薪年假项目奖金弹性工作前沿技术定期体检公司氛围好,3,5K,研发实习生,北京,1. 负责公司云平台的产品开发及维护2. 根据产品设计要求，在项目经理或高级工程师带领下独立完成应用模块的编码、测试及优化工作;3. 协助项目经理与系统团队对接，为系统团队进行产品技术支持1. 本科及以上学历，计算机相关专业，2020年应届毕业生2. 熟悉算法和数据结构，熟悉C、Java、Python等至少一种编程语言3. 有一定的Linux操作系统经验，熟悉Shell者优先4. 计算机网络基础较好者优先5. 对于OpenStack有一定了解者优先6. 有云计算相关项目开发经验者优先7、五天八小时工作日，全职工作，周末双休公司提供：(1)各种内部分享活动，定期举办技术分享会、接触前沿技术(2)员工生日会、各种团建活动(3)弹性工作时间、周末双休(4)实习期表现优异者毕业可直接转正公司前身为北京中电广通科技有限公司，隶属于中国电子信息产业集团。从事云计算、大数据方向产品研发。
本科,应届生,领导好地铁周边公司氛围好领导好地铁周边公司氛围好领导好地铁周边公司氛围好,3,4K,java实习生,北京,1、根据系统需求文档负责功能模块的设计与代码开发工作。2、负责处理、解决系统使用过程中遇到的问题及系统日常维护工作。3、负责相关项目文档的编写和整理。1、本科或本科以上学历，计算机相关专业者优先。2、熟悉java语言设计，有软件开发相关经验优先。3、熟悉JavaScript 及EXT JS、jQuery等框架，有相关项目经验优先。4、熟悉sql开发，熟悉Spring框架，了解oracle数据库及WEBLOGIC中间件。
12个月,5天/周,五险一金定期体检加班补助年终奖带薪年假五险一金定期体检加班补助年终奖带薪年假,150,200/天,java开发,北京,本科毕业，欢迎20年学生，专业不限热爱开发行业，做过一些项目优先考虑学习能力，沟通能力强
本科,应届生,,5,8K,Java开发工程师,北京,"1、负责公司相关项目的设计和开发（数据库设计、模块功能开发、与app端开发人员接口逻辑编写和对接）;2、负责公司已完成项目的后续部分维护工作;3、优化程序性能，提高程序执行效率;1、熟悉多种NoSQL数据库，有mongo，redis，memcached开发调优经验,有集群设计经验者优先2、熟练使用常见linux命令3、喜欢钻研、有较强的学习能力和分享精神、团队合作能力等4、精通java编程，对java多线程技术有较深理解，对高并发、分布式网络通信和jvm调优有深入研究和了解，有类似开发经验者优先5、熟悉Spring、开源框架，对spring、mybatis等有源码级的深入研究和理解，熟悉各种常用设计模式；6.  有前端开发经验，熟悉VUE等优先。"
本科,应届生,,1,4K,Java实习生,北京,1. 负责根据开发进度和任务分配，完成相应模块的开发任务；2.负责参与需求分析、设计，高质量完成开发任务，确保高性能处理和系统的稳定性；3.参与软件工程文档、产品文档的编写。1、2019届本科及以上学历，计算机及相关专业；2、熟悉Java编程，对Java面向对象有深入理解，熟悉Linux常用操作；3、具有较强的独立工作与学习能力，愿意学习新技术，具备钻研精神；4、有责任心，有较强的沟通能力和团队协作精神。5、2020年毕业生
硕士,经验不限,带薪年假地铁周边领导nice公司氛围好扁平管理带薪年假地铁周边领导nice公司氛围好扁平管理带薪年假地铁周边领导nice公司氛围好扁平管理,3,6K,Java实习生,北京,招聘面向2018年毕业硕士研究生（Java、C++、前端、自然语言识别、机器学习算法、自动化测试等岗位），计算机及相关专业，希望能全职实习。新闻媒体、出版教育、大数据行业领先技术提供商，始终在技术前沿进行探索
6个月,5天/周,五险一金定期体检年终奖股票期权带薪年假零食下午茶五险一金定期体检年终奖股票期权带薪年假零食下午茶,150,200/天,JAVA实习生（大数据方向）,北京,1、负责客户现场数据库运维相关工作；2、负责相关Java应用程序代码的编写；3、必要时需要阅读与编写Scala代码；4、结合NoSQL、Hadoop、Spark、Storm等前沿技术开发大数据应用解决方案。1、大学本科及以上学历，计算机相关专业优先2、20年毕业优先，实习表现良好可直接转正；3、具有团队协作精神，工作严谨主动，人际交往能力良好；4、要求能够全职实习我们提供：与行业大牛一起工作的机会毕业转正对公司职位感兴趣可以直接发送简历至：*****
本科,应届生,五险一金定期体检年终奖节日福利项目经理补贴出差补助五险一金定期体检年终奖节日福利项目经理补贴出差补助公司氛围好移动互联网扁平管理美女如云地铁周边带薪休假,3,6K,初级Java开发工程师（全职实习生、应届生）,北京,"1、根据开发方案，完成负责模块的程序开发及测试工作；2、参与需求分析、功能设计、详细设计、测试、更新等工作；3、参与公司系统维护以及优化工作；4、工作范围：人力资源、财务管理、项目管理、档案管理、内容管理等企业办公所需系统。1、全日制本科及以上学历，2019年毕业生（可接受全职实习）；2、计算机相关专业；3、熟练使用Java语言,了解Spring MVC，MyBatis，jQuery，activiti等相关技术；4、熟练使用oracle或mysql数据库，熟练使用SQL语句；5、具备良好的面向对象思维,逻辑能力佳；6、具有较强的团队意识、善于学习和总结分析。这是一支富有朝气的团队，只要你敢于挑战，我会给你一个平台让你施展。"
硕士,经验不限,五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假餐补节日福利五险一金补充医疗保险定期体检加班补助年终奖股票期权带薪年假餐补节日福利领导nice移动广告移动互联网分布式微服务业务范围广技术氛围浓高并发场景,4,6K,Java开发实习生,北京,1.负责广告平台的开发工作；2.持续改进系统架构、核心技术等，保证系统高性能、高可用性和高可扩展。1.重点高校计算机或相关专业硕士及以上学历，2020届；2.对数据结构和算法设计有一定理解；熟悉Java编程，熟悉Spring、Mybatis等Java常用开源框架、设计模式及并发编程；3.熟悉MySQL数据库，理解数据库的基本理论和内部实现机制；4.熟练运用Spring/Hibernate/Mybatis等常用框架；熟练使用Eclipse/Maven/SVN等软件开发工具；5.学习能力、逻辑思维能力强，对技术充满热情，有较强的沟通交流和团队协作能力。
